Lexical simplification	Syntactic Simplification
سفر میں وہ نہ راستہ بھولتا اور نہ ہی کسی کی باتوں میں اتا-	وہ نہ راستہ بھولتا اور نہ ہی کسی کی باتوں میں اتا۔
لیکن اب افسوس کرنے سے کیا حاصل؟	لیکن اب افسوس کرنے سے کیا حاصل ہوگا۔ 
بہت دیر ہو چکی تھی زندگی کا سفر ختم ہو چکا تھا۔	دیر ہو چکی تھی زندگی کا سفر ختم ہو چکا تھا۔
اب تو اسکا آخری وقت آچکا تھا-	 اسکا آخری وقت آچکا تھا۔
اخبار والےنے جب آج کا اخبار دروازے پر ڈالا تو میرا بیٹا اور میرے بوڑھے والد دونوں دوڑ پڑے۔	 جب آج کا اخبار آیا تو میرا بیٹا اور  والد دونوں دوڑ پڑے۔
 مجھے یاد آیا کہ آج بد ھ ہے اخبار میں بچوں کا خصوصی صفحہ "بچپن" چھپتا ہے۔	آج اخبار میں بچوں کا خصوصی صفحہ "بچپن" چھپتا ہے۔
بیٹے نے جلدی سے دوڑ کر اخبار چھین لیااور بچوں کا صفحہ نکالنے لگا۔	بیٹے نے دوڑ کر اخبار چھین لیا اور بچوں کا صفحہ نکالنے لگا۔
بوڑھے والد نے بھی اس صفحہ کو چھیننے کی کوشش کی۔	والد نے بھی اس صفحہ کو چھیننے کی کوشش کی۔
تھوڑی دھیر میں بچوں کا صفحہ پھٹ گیا۔ اور پھر وہ دونوں لڑ پڑے۔	صفحہ پھٹ گیا اوروہ دونوں لڑ پڑے۔
فوزیہ تم آج بھی مجھے پریشان دکھائی دے رہی ہو۔ کہو کیا بات ہے؟	 تم پریشان دکھائی دے رہی ہو۔ کیا بات ہے؟
میرے شوہر میں۔۔ میں آج بھی شاید خواب ہی دیکھ رہی ہوں کہ شہر کے مشہور و معروف دولت مند وکیل نے مجھ غریب اور مجبور لڑکی کو اپنایا۔	مجھے یہ خواب لگ رہا ہےکہ شہر کے مشہور  وکیل نے مجھ غریب سے شادی کی۔
نہیں فوزیہ۔یہ خواب نہیں سچ ہےتم جانتی ہو بیوی کےفوت ہونے کے بعد میں نے دوبارہ شادی نہیں کرنا چاہتا تھا۔	 بیوی کےفوت ہونے کے بعد میں دوبارہ شادی نہیں کرنا چاہتا تھا۔
اس لئے کہ مجھے اپنے بچوں سےبہت زیادہ محبت ہے اور انکو کو پریشان نہیں دیکھنا چاہتا تھا -	میں اپنے بچوں  کو پریشان نہیں دیکھنا چاہتا۔ 
لیکن جب والدین کی ضد کی وجہ سے مجھے مجبور ہونا پڑا اور میں نے تم سے شادی کرنے کا فیصلہ کر لیا۔	 والدین کی ضد کی وجہ سے میں نے تم سے شادی کر لی۔
تم حیران ہو کہ آخر میں نے تمہیں ہی پسند کیوں کیا ہے۔	تم حیران ہو کہ میں نے تمہیں کیوں پسند کیا ہے۔
فوزیہ وجہ یہ ہے کہ میں نے پڑوس میں رہ کر تمہیں بچپن ہی سے اپنی سوتیلی ماں کی وجہ سے دکھ سہتے ہوئے دیکھا ہے۔	فوزیہ میں نے تمہیں بچپن سے اپنی سوتیلی ماں  سے دکھ سہتے ہوئے دیکھا ہے
تم ہمیشہ اداس رہی ہو۔	تم ہمیشہ اداس رہی ہو۔
میں نے سوچا تم نے سوتیلے ہونے کا دکھ سہا ہے تم اس درد کو محسوس کرتی ہو اس لئے ان معصوم بچوں کو وہ دکھ کبھی نہیں دو گی جو تم نے سہے ہیں۔	 تم نے سوتیلے ہونے کا دکھ سہا ہے اس لئے ان  بچوں کو وہ دکھ  نہیں دو گی - 
جب بھی اسے کوئی نماز پڑھنے کے لئے کہتا تو وہ یہی کہتا۔ 	جب بھی اسے کوئی نماز پڑھنے کے لئے کہتا تو وہ یہی کہتا۔ 
ملازمت سے فارغ ہونے دو۔ پھر داڑھی رکھ کر ایک مسجد کا کونا سنبھال لوں گا۔	ملازمت ختم ہونے کے بعد میں مسجد میں بیٹھ جاؤں گا۔
ملازمت سےفارغ ہوا تو اس نے بچوں کے لئے ایک بڑھا مکان بنانے کا ارادہ کیا۔	ملازمت سےفارغ ہوکر اس نےایک بڑا مکان بنانا چاہا۔
تقریباً ایک سال کا عرصہ اپنی مرضی کے گھر  بنانے میں گزر گیا۔	ایک سال گھر بنانے میں گزر گیا۔
آج مکا ن کا آغاز تھا۔	آج اس نےمکا ن میں رہنا  تھا۔
بجلی کی چراغوں سےبڑی عمارت جگمگا رہی تھی۔	چراغوں سے بڑی عمارت جگمگا رہی تھی۔
اس کے قدم شکرانے کی نماز کے لئے مسجد کی  طرف چل پڑے۔ 	وہ شکرانے کی نمازکے لئے مسجد  چل پڑا۔
اس نے فیصلہ کر لیا تھا کہ وہ کل سے اپنا زیادہ تر وقت مسجد میں گزارے گا اورﷲ تعالیٰ کی عبادت کرے گا۔	اس نے فیصلہ کیا  کہ وہ کل سےمسجد میں عبادت کرے گا۔
ابھی وہ مسجد میں داخل ہو رہا تھا کہ اس کی دڑھکن رک گئی اور مسجد کے باہر ہی وہ فوت ہو گیا -	وہ مسجد میں داخل ہو رہا تھا کہ مسجد کے باہر ہی وہ فوت ہو گئا-
گاؤں کے اس غریب کی شادی ہو گئی۔	اس غریب کی شادی ہو گئی
جو دونوں آنکھوں سے اندھا تھا۔	جواندھا تھا۔
لیکن افسوس کہ جس لڑکی سے اس کی شادی ہوئی  وہ بھی اندھی تھی- 	اندھی لڑکی سے اس کی شادی ہوئی
دونوں ایک دوسرےکے لئے بے سہارا تھے-	دونوں ایک دوسرےکے لئے بے سہارا تھے-
لیکن جب میں کچھ سال سال بعد اپنے گاؤں واپس آیا تو دیکھا کہ وہ دونوں اپنے بچہ کے سہارے چل رہے تھے۔	جب میں نےکچھ سال بعد دیکھا کہ وہ دونوں اپنے بچہ کے سہارے چل رہے تھے۔
جس کی آنکھیں پیاری تھیں-	جس کی آنکھیں پیاری تھیں-
بس اپنا توازن کھو چکی تھی ۔	بس اپنا توازن کھو چکی تھی
چالیس مسافر مر چکے تھے۔	چالیس مسافر مر چکے تھے
بس گہرائی میں گرتے ہی مدد کرنے والے وہاں پہنچ گئے۔	بس گرتے ہی مدد کرنے والے وہاں پہنچ گئے
زخمی جسموں سے  بچاؤ بچاؤ کی آوازیں آ رہی تھیں۔	بچاؤ بچاؤ کی آوازیں آ رہی تھیں۔
لیکن مدد کرنے والے انھیں بچانے کی بجائے وہ ان مردہ عورتوں کو اپنے کاندھوں پر لیے اسپتال کی جانب دوڑ رہے تھے جو زیورات سے لدی پھندی تھیں!!	 انھیں بچانے کی بجائے وہ زیورات پہنے ہوئی مردہ عورتوں کو لیے اسپتال کی طرف بھاگ رہے تھے 
تم خاموش کیوں رہتی ہو۔۔۔؟	تم  کیوں خاموش رہتی ہو۔
میں؟ نہیں تو؟ اُس نے بناوٹی ہنسنے کی کوشش کی۔	اُس نے ہنسنے کی کوشش کی۔
 نہیں تم ضرور کچھ تو سوچتی رہتی ہو۔ 	تم ضرور سوچتی رہتی ہو۔
اور تمہارے وہ خیالات تمہیں اداس کردیتے ہیں۔	خیالات تمہیں اداس کردیتے ہیں۔
میرا خیال ہے تم اُسے ابھی تک نہیں بھولیں۔ 	تم اُسے ابھی تک نہیں بھولیں۔
آخر تم اُسے بھول کیوں نہیں جاتیں۔	تم اُسے کیوں نہیں بھول جاتیں۔
یہ سن کر اسکے چہرے پر طنزیہ مسکراہٹ پھیل گئی۔	یہ سن کر وہ طنزیہ مسکرائی۔
کون کس کو بھولتا ہے راکیش؟	کوئی کسی کو نہیں بھولتا ہے راکیش
اُس نے روتے ہوئے کہا۔	اُس نے روتے ہوئے کہا۔
رادھا آج،آج تم نے میرے دل کی بات کہہ دی۔	رادھا آج تم نے میرے دل کی بات کہہ دی۔
میں جب بھی وہاں سے گزرتا نجومی کو ہمیشہ ہی آدمیوں نے گیرا ہوتا۔	 نجومی کو ہمیشہ آدمیوں نے گھیرا ہوتا۔
وہ ہاتھوں میں کھینچی آڑی ترچھی لکیروں کو پڑھ کر لوگوں کو اُن کی قسمت کے فیصلوں سے آگاہ کرتا تھا۔	وہ ہاتھوں کی لکیروں سے لوگوں کو قسمت سےآگاہ کرتا تھا۔
ایک دن میں بھی اس ہجوم میں چلا گیا لیکن میری باری آنے تک بہت رات ہو چکی تھی۔	میں بھی گیا مگر میری باری نہیں آئي۔
وہ ہماری طرف دیکھ کر کہنے لگا۔	اس نے ہمیں دیکھ کر کہا۔
تم لوگوں کی قسمت کے بارے میں میں کل بتاؤں گا کل تم ضرور آنا۔ 	تم لوگوں کی قسمت کا کل بتاؤں گا 
میں تمہیں یہیں ملوں گا۔	میں یہیں ملوں گا۔
دوسرے دن جب ہم وہاں پہنچے تو پتہ چلا کہ دوسروں کی قسمت کی لکیروں کو پڑھنے والا خود اپنی قسمت کی لکیروں نہیں جانتا تھا۔	دوسرے دن پتہ چلا کہ دوسروں کو  قسمت بتانے والا خود اپنی قسمت نہیں جانتا تھا۔
وہ تو آج صبح ہی فوت ہو گیا ہے 	وہ آج فوت ہو گیا
وہ غریبوں کے گاؤں اندرا نگر میں پیدا ہوا تھا۔	وہ گاؤں اندرا نگر میں پیدا ہوا تھا۔
بچپن اسی گاؤں میں گزرا لیکن جب بڑا ہو ا تو خوش قسمتی سے سعودی عرب چلا گیا۔	بچپن اسی گاؤں میں گزرا  لیکن جب بڑا ہو ا تو سعودی عرب چلا گیا۔
دس سال بعد جب و ہ وطن واپس آکر اپنے گاؤں آیا تو اسکے منہ پر سفید رومال تھا اور وہ ماتے پر بل ڈالے اپنے ہی بچپن کے دوستوں  سے ان کا نام پتہ پوچھ رہا تھا۔	جب و ہ وطن واپس اپنے گاؤں ‏آیا تو اپنے بچپن کے دوستوں سےنام پوچھ رہا تھا۔
وہ اردو زبان کا مشہور و نامور محقق ادیب و شاعر تھا۔	وہ اردو زبان کا مشہور شاعر تھا
اس نے اپنی زندگی میں اردو زبان وادب کی ترقی اسکی چھپنے اور اپنی زبان کی اہمیت اور ضرورت پر سینکڑوں مقالے لکھے تھے۔	اس نے اردو زبان کی ترقی ،اہمیت اور ضرورت پر سینکڑوں مقالے لکھے تھے۔
ایک دن اچانک وہ فوت ہو گیا-	 وہ اچانک فوت ہو گیا-
اس کی  اچانک موت کے دو مہینے بعد انکے بیٹوں  نے اپنے والد کی کتابوں کو باہر نکالا۔	 موت کے بعد انکےبیٹوں نے اپنے والد کی کتابوں کو باہرنکالا-  
کتابوں سے کئی الماریاں بھری تھی۔	کتابوں سے الماریاں بھری تھی
 پاس پڑوس کے لوگ کتابوں کی الماریوں کے ارد گرد  ہاتھ باندھے کھڑے تھے اور ان کے بچے کتابوں کو پرانے سامان لینے والے کو دینے کی کی تیاری کر رہے تھے۔	پڑوس کے لوگ کتابوں کی ارد گرد کھڑے تھے اور ان کے بچے کتابوں کو پرانے سامان لینے والے کو دینے کی تیاری کر رہے تھے۔
وہ  کتابیں اب انکے کسی کام کی نہ تھی کیونکہ انکی پوری تعلیم انگلش میڈیم سے ہوئی تھی۔	وہ  کتابیں کام کی نہ تھی کیونکہ انکی تعلیم انگلش میڈیم سے ہوئی تھی۔
میں تمہیں کیسے سمجھاؤں فرح!	میں تمہیں کیسے سمجھاؤں فرح
یہ تو ایک غلط رشتہ ہے-	یہ تو ایک غلط رشتہ ہے
جس سے میری مرضی کی بغیر شادی کر دی گئ۔	جس سے میری شادی مرضی کی بغیر کر دی گئ
میں نے نہ تو کبھی اُسے چاہا اور نہ ہی کبھی چا ہوں گا۔	میں نے  اسےکبھی نہیں چاہا اور نہ ہی کبھی چا ہوں گا- 
یہ سچ ہے کہ میں نے تم سے محبت کی ہے۔	میں نے تم سے محبت کی ہے۔
میرے دل کے  گہرایی میں بس تم ہی تم ہو۔	میرے دل میں بس تم ہو۔
میں ہمیشہ تمہارا ہی رہوں گا۔	میں تمہارا ہی رہوں گا۔
وہ کتنی بد قسمت ہے کہ وہ میری ہو کر بھی میں اسکا نہیں ہو سکوں گا۔	وہ کتنی بد قسمت ہےکہ میں اسکا نہیں ہو سکوں گا۔
وہ زندگی بھرساتھ رہے گی مگر یہ دل کی دوریاں ختم نہ کر سکے گی۔	وہ ساتھ رہے گی مگر یہ دوریاں ختم نہیں ہو سکیں گی۔
فرح محبت جسم سے نہیں دل سے ہوتی ہے اور سچی بات تو یہ ہے۔	فرح محبت دل سے ہوتی ہے ، بات تو یہ ہے
کہ میں نے دوکھا تمہیں نہیں بلکہ اُسے دیا ہے شاید کہ تم سمجھ سکو۔	کہ میں نے دوکھہ تمہیں نہیں اُسے دیا ہے
کانٹا کہہ رہا تھا۔	کانٹا کہہ رہا تھا۔
میں  دیکھنےمیں بہت چھوٹا ہوں لیکن بہت طاقتور ہوں میری عادت میں چبھنا ہے۔	میں بہت چھوٹا ہوں لیکن بہت طاقتور ہوں میری عادت میں چبھنا ہے
 میں کسی بھی چیز کو تکلیف پہنچا کر اُسے مٹا سکتا ہوں۔	 میں کسی بھی چیز کو تکلیف پہنچا کر اُسے مٹا سکتا ہوں۔
یہ پھول۔ یہ شاخ۔ یہ درخت سب میرے نزدیک چھوٹے ہیں۔	پھول شاخ اور درخت سب میرے نزدیک چھوٹے ہیں
 پھر ایک دن اُس نے جس شاخ پروہ پیدا ہوا تھا- 	 پھر ایک دن جس شاخ پروہ پیدا ہوا تھا - 
اُسے ہی چبھ کر تکلیف دینے لگا لیکن اُسے ختم کرنے کی کوشش میں وہ خود ہی زمین پر آرہا۔	اُسے ہی چبھ کر تکلیف دینے لگا لیکن وہ خود ہی زمین پر آرہا۔
 تب اُسے معلوم ہوا کہ درخت تو بڑا مضبوط ہے۔	 اُسے معلوم ہوا کہ درخت تو بڑا مضبوط ہے
وہ شاخ جس پروہ پیدا ہوا تھا- 	وہ شاخ جس پروہ پیدا ہوا تھا- 
اب بھی سر سبز و ہرا بھرا  ہے۔	اب بھی سر سبز ہے۔
 پھول اپنی خوشبو سے ماحول کو روز کی طرح خوشبو دار کر رہے ہیں۔	پھول ماحول کو خوشبو دار کر رہے ہیں۔
وہ جنھیں چھوٹا سمجھتا تھا وہ تو بلند ہیں۔	وہ جنھیں چھوٹا سمجھتا تھا وہ تو بلند ہیں۔
چھوٹا تو وہ خود ہے۔	چھوٹا تو وہ خود ہے
بیوی کے مر جانے کے بعد اُس کے واحد  بیٹے راجیش کا بھی انتقال ہو گیا اور گھر میں صرف وہ اور  اسکی بہو رہ گئی۔	بیوی کے مر جانے کے بعد اُس کے بیٹے راجیش کا بھی انتقال ہو گیا اور گھر میں وہ اور راجیش کی بیوی رہ گئی
چونکہ راجیش کی بیوی  کا بھی کوئی خیال رکھنے والا نہیں تھا۔	چونکہ راجیش کی بیوی کا بھی کوئی نہیں تھا
اس لئے وہ کہیں جانے کی بجائے گھر ہی میں رہنے لگی۔	اس لئے وہ گھرمیں رہنے لگی۔
وقت گزرتا گیا۔	وقت گزرتا گیا۔
دو مہینے بعد دونوں گاؤں چھوڑ کر شہر چلے گئے وہاں شادی کر لی۔	دو مہینے بعد دونوں شہر چلے گئے وہاں شادی کر لی۔
اور پھر  نئے شہر میں وہ دونوں میاں بیوی کے طور پر پکارے جانے لگے۔	وہ دونوں میاں بیوی کی طور پر جاننے لگے
الیکشن سے پہلے۔	الیکشن سے پہلے
کیا تم نےغریبوں کی مدد کے لئے سارا انتظام کر لیا ہے؟	کیا تم نےغریبوں کی مدد کے لئے سارا انتظام کر لیا ہے؟
جی سر	جی سر
جاؤ انھیں ہمارے اسٹیج کے سامنے بٹھاؤ۔	جاؤ انھیں اسٹیج کے سامنے بٹھاؤ۔
اور ان کا ہر طرح سے خیال رکھنا۔ وہ ہمارے سارے ووٹ  ہے۔	اور ان کا ہر طرح سے خیال رکھنا کیونکہ ہمارے سارے ووٹ انسے ہے۔
الیکشن کے بعد	الیکشن کے بعد
کیا پروگرام کی ساری تیاریاں ہو چکی ہیں؟	کیا پروگرام کی تیاریاں ہو چکی ہیں؟
جی سر۔	جی سر۔
 میرے پروگرام میں کم از کم آٹھ دس ہزار سُننے والے ہونے چاہئے۔	 میرے پروگرام میں آٹھ دس ہزار لوگ ہونے چاہئے۔
 ہم پوری کوشش کر رہے ہیں سر۔	  سر ہم کوشش کر رہے ہیں۔
 لیکن خیال رہے اسٹیج کے سامنے سبھی امیر لوگوں کو بٹھانا اور غریب لوگوں کو نعرے لگانے اور تالیاں بجانے کے لئے پیچھے کھڑے کر دینا۔	 لیکن اسٹیج کے سامنے سب امیر لوگوں کو بٹھانا - غریب لوگوں کو پیچھے کھڑے کر دینا
جی سر 	جی سر 
تم یہاں کیوں آتی ہو؟	تم کیوں یہاں آتی ہو؟
تم سے ملنے	تم سے ملنے آتی ہوں-
لیکن ہردن  آنے کی وجہ؟	لیکن آنے کی وجہ کیا ہے- 
میں نہیں جانتی۔ لیکن اتنا ضرور ہے کہ آپ سے ملنے کے بعد ہی میرے دل کو سکون آتا ہے۔	 آپ سے ملنے کے بعد ہی میرے دل کو سکون آتا ہے۔
سنو۔ یہ پاگلوں کی طرح باتیں نہ کرو میں نے محبت سے توبہ کر لی ہے ۔	پاگلوں کی طرح باتیں نہ کرو میں نے محبت سے توبہ کر لی ہے 
ویسے بھی میرے دل میں بہت غم پل رہے ہیں۔ میرا دل زخموں سے بھرا ہے۔	ویسے بھی میرے دل میں بہت غم ہے-
میں جانتی ہوں اسی لئے اُن غموں کو کم کرنے کے لئے کہہ رہی ہوں۔	میں اس لئے اُن غموں کو کم کرنے کے لئے کہہ رہی ہوں۔
ایک زخم اور سہی	ایک غم اور سہی-
میں اس راستے پر چلنے لگا جس راستے پر تم مجھے ہمیشہ ملتی تھی- 	میں اس راستے پر چلنے لگا جس پر تم مجھے ہمیشہ ملتی تھی- 
لیکن اس بار جب تم مجھے نہیں ملیں تو میں پریشان ہو گیا اور پھر مایوس ہو کر اس راستے پر نکل پڑا جسے نہ تم پسند کرتی تھیں اور نہ ہی میں۔	لیکن اس بار جب تم مجھے نہیں ملیں تو میں اس راستے پر نکل گیا جسے نہ تم پسند کرتی تھیں اور نہ ہی میں۔
لیکن اسی راستے پر تم مجھے اچانک مل گئیں۔	لیکن اسی راستے پر تم مجھے مل گئیں
جنازہ کے پیچھے پیچھے جانے والے لوگ حیران تھے کہ بیوی کے فوت ہو جانے پر بھی رویا نہیں۔	جنازہ میں جانے والے لوگوں کو حیران تھے کہ بیوی کے فوت ہو نے پر بھی رویا نہیں-
لوگوں میں کسی نے کہا ہو سکتا ہے اس واقعہ پر اُسےغم ہی نہ ہو۔	ہو سکتا ہے اس واقعہ پر اُسے کوئی غم ہی نہ ہوا ہو
لیکن ہو سکتا ہے کہ لوگوں کواسکی خبر نہ ہو-	ہو سکتا ہے لوگوں کوخبر نہ ہو-
کہ اُسے غم چھپانے کا ہنر بھی آتا ہے۔	کہ اُسے غم چھپانا بھی آتا ہے۔
دوسرے دن وہ تنہا ،خاموش رہنے لگا۔	 وہ تنہا خاموش رہنے لگا۔
روزانہ صبح اٹھ کر قبرستان جاتا، اس کا عادت بن گئی اور پھر چار مہینے بعد یہ خبر بھی حیرت میں ڈوبے لوگوں کو سنا دی گئی۔	روزانہ قبرستان جاتا، پھر چار مہینے بعد یہ خبر بھی سنا دی گئی
کہ بیوی کی موت پر  نہ رونے والا دل کی دڑھکن بند ہو جانے پر  اس دنیا سے چلا گیا ہے۔ 	کہ بیوی کی موت پر نہ رونے والا بھی فوت ہو گیا تھا۔
میں نے سنا ہے- آج خالی سیٹوں کے لئے آپ نے امیدواروں کا انٹر ویو لیا ہے۔	میں نے سنا ہے کہ آج خالی سیٹوں کے لئے آپ نے امیدواروں کا انٹر ویو لیا ہے۔
جی ہاں۔	جی ہاں۔
 تو کیا امیدواروں کا سلیکشن ہو گیا۔؟	تو کیا سلیکشن ہو گیی ہیں؟
جی نہیں۔ یہ تو رسمن ہے۔	جی نہیں۔ یہ تو رسمیت ہے
